.gle: whois.nic.google
.global: whois.nic.global
.frogans: whois.nic.frogans
.express: whois.nic.express
.healthcare: whois.nic.healthcare
.extraspace: whois.afilias-srs.net
.helsinki: whois.nic.helsinki
.institute: whois.nic.institute
.wang: whois.gtld.knet.cn
.frl: whois.nic.frl
.fail: whois.nic.fail
.info: whois.afilias.net
.walter: whois.nic.walter
.tz: whois.tznic.or.tz
.gmail: whois.nic.google
.nowruz: whois.nic.nowruz
.seven: whois.nic.seven
.wanggou: whois.nic.wanggou
.sew: whois.afilias-srs.net
.here: whois.nic.google
.sex: whois.registrar.adult
.social: whois.nic.social
.insurance: whois.nic.insurance
.schwarz: whois.nic.schwarz
.mma: whois-mma.nic.fr
.reit: whois.nic.reit
.glass: whois.nic.glass
.review: whois.nic.review
.restaurant: whois.nic.restaurant
.ua: whois.ua
.ею: whois.eu
.services: whois.nic.services
.expert: whois.nic.expert
.wales: whois.nic.wales
.sexy: whois.uniregistry.net
.now: whois.nic.now
.one: whois.nic.one
.tw: whois.twnic.net.tw
.play: whois.nic.google
.playstation: whois.nic.playstation
.lasalle: whois.afilias-srs.net
.mobi: whois.nic.mobi
.lat: whois.nic.lat
.pnc: whois.nic.pnc
.sg: whois.sgnic.sg
.sh: whois.nic.sh
.shell: whois.nic.shell
.sharp: whois.nic.gmo
.shaw: whois.afilias-srs.net
.shia: whois.nic.shia
.shiksha: whois.afilias.net
.latrobe: whois.nic.latrobe
.moda: whois.nic.moda
.shop: whois.nic.shop
.gallup: whois.nic.gallup
.shoes: whois.nic.shoes
.nra: whois.afilias-srs.net
.show: whois.nic.show
.shopping: whois.nic.shopping
.pharmacy: whois.nic.pharmacy
.shriram: whois.afilias-srs.net
.moe: whois.nic.moe
‏.كوم‎: whois.nic.xn--fhbei
.中文网: whois.teleinfo.cn
.enterprises: whois.nic.enterprises
.partners: whois.nic.partners
.si: whois.register.si
.phd: whois.nic.google
.law: whois.nic.law
.showtime: whois.afilias-srs.net
.leclerc: whois-leclerc.nic.fr
.silk: whois.nic.silk
.physio: whois.nic.physio
.philips: whois.nic.philips
.sling: whois.nic.sling
.sina: whois.nic.sina
.money: whois.nic.money
.racing: whois.nic.racing
.nu: whois.iis.nu
.sn: whois.nic.sn
.photo: whois.uniregistry.net
.site: whois.nic.site
.nz: whois.srs.net.nz
.skin: whois.nic.skin
.sm: whois.nic.sm
.lds: whois.nic.lds
.radio: whois.nic.radio
.sk: whois.sk-nic.sk
.date: whois.nic.date
.so: whois.nic.so
.nrw: whois.nic.nrw
.lease: whois.nic.lease
.lexus: whois.nic.lexus
.pictures: whois.nic.pictures
.observer: whois.nic.observer
.photos: whois.nic.photos
.sc: whois2.afilias-grs.net
.中国: cwhois.cnnic.cn
.off: whois.nic.off
.lefrak: whois.nic.lefrak
.li: whois.nic.li
.pid: whois.nic.pid
.sncf: whois-sncf.nic.fr
.pin: whois.nic.pin
.read: whois.nic.read
.red: whois.afilias.net
.pioneer: whois.nic.gmo
.pink: whois.afilias.net
.谷歌: whois.nic.google
.realty: whois.nic.realty
.schaeffler: whois.afilias-srs.net
.中國: cwhois.cnnic.cn
.okinawa: whois.nic.okinawa
.olayangroup: whois.nic.olayangroup
.rehab: whois.nic.rehab
.schule: whois.nic.schule
.娱乐: whois.nic.xn--fjq720a
.olayan: whois.nic.olayan
.redstone: whois.nic.redstone
.reisen: whois.nic.reisen
.university: whois.nic.university
.pohl: whois.nic.pohl
.redumbrella: whois.afilias-srs.net
.ong: whois.publicinterestregistry.net
.omega: whois.nic.omega
.scholarships: whois.nic.scholarships
.porn: whois.registrar.adult
.reise: whois.nic.reise
.school: whois.nic.school
.unicom: whois.nic.unicom
.om: whois.registry.om
.uk: whois.nic.uk
.ollo: whois.nic.ollo
.progressive: whois.afilias-srs.net
.post: whois.dotpostregistry.net
.productions: whois.nic.productions
.soccer: whois.nic.soccer
.ubank: whois.nic.ubank
.promo: whois.afilias.net
.uol: whois.gtlds.nic.br
.pr: whois.afilias-srs.net
.pro: whois.afilias.net
.prof: whois.nic.google
.ug: whois.co.ug
.uno: whois.nic.uno
.prime: whois.nic.prime
.ups: whois.nic.ups
.properties: whois.nic.properties
.press: whois.nic.press
.international: whois.nic.international
.golf: whois.nic.golf
.pt: whois.dns.pt
.prod: whois.nic.google
.pwc: whois.afilias-srs.net
.飞利浦: whois.nic.xn--kcrx77d1x4a
.int: whois.iana.org
.pw: whois.nic.pw
.pub: whois.nic.pub
.condos: whois.nic.condos
.dating: whois.nic.dating
.fi: whois.fi
.fun: whois.nic.fun
.investments: whois.nic.investments
.台湾: whois.twnic.net.tw
.datsun: whois.nic.gmo
.io: whois.nic.io
.day: whois.nic.google
.iq: whois.cmc.iq
.台灣: whois.twnic.net.tw
.ir: whois.nic.ir
.hisamitsu: whois.nic.gmo
.dclk: whois.nic.google
.irish: whois.nic.irish
.is: whois.isnic.is
.hiv: whois.uniregistry.net
.link: whois.uniregistry.net
.hk: whois.hkirc.hk
.ismaili: whois.afilias-srs.net
.hkt: whois.nic.hkt
.live: whois.nic.live
.gmbh: whois.nic.gmbh
.ist: whois.afilias-srs.net
.手机: whois.nic.xn--kput3i
.istanbul: whois.afilias-srs.net
.gmo: whois.nic.gmo
.it: whois.nic.it
.gmx: whois.nic.gmx
.iveco: whois.nic.iveco
.itv: whois.afilias-srs.net
.holiday: whois.nic.holiday
.godaddy: whois.afilias-srs.net
.homedepot: whois.nic.homedepot
.onl: whois.afilias-srs.net
.jcb: whois.nic.gmo
.jcp: whois.afilias-srs.net
.goldpoint: whois.nic.goldpoint
.gold: whois.nic.gold
.online: whois.nic.online
.je: whois.je
.onyourside: whois.nic.onyourside
.homes: whois.afilias-srs.net
.ooo: whois.nic.ooo
.property: whois.uniregistry.net
.jeep: whois.afilias-srs.net
.भारोत: whois.registry.in
.भारतम्: whois.registry.in
.website: whois.nic.website
.jetzt: whois.nic.jetzt
.ls: whois.nic.ls
.loan: whois.nic.loan
.webcam: whois.nic.webcam
.भारत: whois.registry.in
.wedding: whois.nic.wedding
‏.الجزائر‎: whois.nic.dz
.horse: whois.nic.horse
‏.عمان‎: whois.registry.om
.jll: whois.afilias-srs.net
.google: whois.nic.google
.weibo: whois.nic.weibo
.wed: whois.nic.wed
.locker: whois.nic.locker
.jewelry: whois.nic.jewelry
.host: whois.nic.host
.wf: whois.nic.wf
.locus: whois.nic.locus
.loans: whois.nic.loans
.wien: whois.nic.wien
.wiki: whois.nic.wiki
.whoswho: whois.nic.whoswho
.joburg: joburg-whois.registry.net.za
.jot: whois.nic.jot
.hosting: whois.uniregistry.net
.lotte: whois.nic.lotte
.lotto: whois.afilias.net
.got: whois.nic.got
.hot: whois.nic.hot
.joy: whois.nic.joy
.mormon: whois.nic.mormon
.jp: whois.jprs.jp
.win: whois.nic.win
.संगठन: whois.publicinterestregistry.net
.укр: whois.dotukr.com
.gp: whois.nic.gp
.cyou: whois.nic.cyou
.cz: whois.nic.cz
.cymru: whois.nic.cymru
.网络: whois.ngtld.cn
.ком: whois.nic.xn--j1aef
.mortgage: whois.nic.mortgage
.gq: whois.dominio.gq
.juegos: whois.uniregistry.net
.house: whois.nic.house
.moscow: whois.nic.moscow
.kaufen: whois.nic.kaufen
.gratis: whois.nic.gratis
.movie: whois.nic.movie
.ltd: whois.nic.ltd
.lt: whois.domreg.lt
‏.ایران‎: whois.nic.ir
‏.اتصالات‎: whois.centralnic.com
.how: whois.nic.google
.motorcycles: whois.afilias-srs.net
‏.العليان‎: whois.nic.xn--mgba7c0bbn0a
.kiwi: whois.nic.kiwi
.dabur: whois.afilias-srs.net
‏.امارات‎: whois.aeda.net.ae
.nc: whois.nc
.fujitsu: whois.nic.gmo
.hermes: whois.afilias-srs.net
.ltda: whois.afilias-srs.net
.limited: whois.nic.limited
.cuisinella: whois.nic.cuisinella
.limo: whois.nic.limo
.fund: whois.nic.fund
.hiphop: whois.uniregistry.net
.fujixerox: whois.nic.fujixerox
.hitachi: whois.nic.gmo
.hm: whois.registry.hm
.hn: whois.nic.hn
.lixil: whois.nic.lixil
.holdings: whois.nic.holdings
.shouji: whois.teleinfo.cn
.watch: whois.nic.watch
.goo: whois.nic.gmo
